bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
2026_RAAD_00008 Concretiseren programmeringsafspraken met locaties voor windenergie - RAADSVOORSTEL.pdf;Concretiseren programmeringsafspraken met locaties voor windenergie;Windenergie;2026-02-10;Programma Duurzaam, Marcel Scheringa, Gemeente Steenwijkerland, Provincie Overijssel, Groot Verlaat, Johannes Post Kazerne, Oldemarkt, Gemeente Meppel, Steenergie, Noord IV;Raadsbesluit 26 maart 2024, Beleidskader Provincie Overijssel, Programmeringsafspraken met de provincie Overijssel;
2026_RAAD_00009 Verordening Commissie Beeldende Kunst Steenwijkerland - RAADSBESLUIT GETEKEND.pdf;Vaststelling Verordening Commissie Beeldende Kunst Steenwijkerland;Beeldende Kunst;2026-02-10;Gemeente Steenwijkerland, Burgemeester en wethouders, Commissie Beeldende Kunst Steenwijkerland, A. ten V;Voorstel van burgemeester en wethouders van 09-12-2025, nummer 2026-RAAD-00009;
2026_RAAD_00009 Verordening Commissie Beeldende Kunst Steenwijkerland - RAADSVOORSTEL.pdf;Verordening Commissie Beeldende Kunst Steenwijkerland;Beeldende Kunst;2026-02-10;Gemeenteraad, Team Economie en Recreatie, Juriste team Samenleving, Trijn Jongman, Commissie Beeldende Kunst Steenwijkerland, College van burgemeester en wethouders, Steenwijkerland, Vollenhove, Sint Jansklooster, Dwarsgracht, Giethoorn;Verordening Commissie Beeldende Kunst van 2002;
2026_RAAD_00010 Beleidsplan Schuldhulpverlening 2026-2029 - RAADSBESLUIT GETEKEND.pdf;Vaststelling beleidsplan Schuldhulpverlening 2026-2029;Schuldhulpverlening;2026-02-10;Gemeente Steenwijkerland, burgemeester en wethouders, Steenwijk;voorstel van burgemeester en wethouders van 06-01-2026, nummer 2026-RAAD-00010;
2026_RAAD_00010 Beleidsplan Schuldhulpverlening 2026-2029 - RAADSVOORSTEL.pdf;Beleidsplan Schuldhulpverlening 2026-2029;Schuldhulpverlening;2026-02-10;Gemeente Steenwijkerland, Team Samenleving, Kwaliteitsmedewerkers Uitvoering Sociaal Domein, Cluster Financiën, Trijn Jongman, Kredietbank Nederland, Sociaal Werk De Kop, Geldloket, Adviesraad Sociaal Domein, Rijksoverheid;Wet gemeentelijke schuldhulpverlening, Landelijk plan 'Basisdienstverlening Schuldhulpverlening', Uitvoeringsplan Schuldhulpverlening, Voorgaande beleidsplan (verlopen);
219213-R01 Nul-situatie onderzoek Eeserpad in Steenwijk Vak A en Vak B zandwinning_.pdf (grondonderzoek).pdf;Nulsituatie grondonderzoek Zandwinlocatie Eeserpad in Steenwijk;Grondonderzoek;2023-05-02;Zandwinlocatie Eeserpad, Steenwijk, Gemeente Steenwijk, Roelofs Advies en Ontwerp B.V., Ortageo Nederland B.V., Ortageo Metingen en Controle B.V., V.O.F. Zandexploitatiemaatschappij Eesermeer Steenwijk, R.F.A. Rieschke;;
220315 OD IJsselland voorlopig jaarverslag 2021.pdf;Voorlopig jaarverslag 2021 Omgevingsdienst IJsselland;Jaarverslag Omgevingsdienst;;Omgevingsdienst IJsselland, Maarten Offinga, Pieter-Jan van Zanten, Bennie Oosterhof, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Provincie Overijssel, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Omgevingsdienst Rivierenland, programma Samen Toekomstbestendig;Nationaal Dreigingsbeeld Milieucriminaliteit 2021, tweede bestuursrapportage van 2021, bestuurlijke intentieovereenkomst;
220331 OD IJsselland ontwerpbegroting 2023.pdf;Concept Begroting 2023;Begroting 2023;2022-03-31;Omgevingsdienst, M.W. Offinga, P.J. van Zanten, Seinstra en partners, Provincie, Gemeente Ommen, Waterschappen, Raden en Staten, Openbaar Ministerie (OM), Politie, Keten Interventie Team (KIT), Algemeen Bestuur, DOWR, IJVI, ONS;Programma Samen Toekomstbestendig, VTH-jaarplan 2023, Besluit Omgevingsrecht, Wet bodembescherming (Wbb), Besluit Uniforme Saneringen (BUS), Omgevingswet, Regionale Nota Bodembeheer, Wet kwaliteitsborging bouw (Wkb), Meerjarenaanpak Harmonisatie ZZS, Wet elektronische publicaties (Wep), Modelrisicoanalyse VTH;
220816 Reactienota zienswijze Eeserwold Werken.pdf;Reactienota zienswijze Beeldkwaliteitsplan Eeserwold Werken;Zienswijze Beeldkwaliteitsplan;2022-09-01;Gemeente Steenwijkerland, Team Samenleving en Ontwikkeling/ Vergunningen, Toezicht en Handhaving, Marga Hoven, Eeserwold Werken, Eeserwold, Eesveenseweg, Eeser Campus, Eeser Gaard, Eeser Boulevard, Welstandscommissie;ontwerp Beeldkwaliteitsplan (ter inzage 4 mei - 14 juni 2022), Beeldkwaliteitsplan 2021, Beeldkwaliteitsplan 2022, stedenbouwkundige plan van 2021, welstandsnota gemeente, bestemmingsplan Eeserwold Werken;
221116 AvdB Advies geluid Paasloregel 60 Willemsoord (geanonimiseerd).pdf;Advies geluid minicamping Paasloregel;Bestemmingsplan;2022-11-16;Omgevingsdienst IJsselland, Gemeente Steenwijkerland, Paasloregel 58;Toelichting ontwerp bestemmingsplan ontwerp d.d. december 2021, Planregels, Verbeelding, Activiteitenbesluit, VNG publicatie bedrijven en milieuzonering;
230613 Advies GGD IJsselland concept 5 juni 2023 gezondheidbeleid gemeente Steenwijkerland (003).pdf;Advies lokaal gezondheidsbeleid Steenwijkerland;Gezondheidsbeleid;2023-06-13;Gemeente Steenwijkerland, Colinde Heijink, Mariska Zwartsenburg, GGD IJsselland, Jacquelien Nijboer, Marja de Jong, VNG, GGD GHOR Nederland, Pharos, Regio IJssel-Vecht, Regio IJsselland;Concept beleidsplan 2023-2026 (concept nota gezondheidsbeleid Steenwijkerland), Wet publieke gezondheid, Integraal plan van aanpak GALA, Vorige Bestuursagenda GGD, Schone Lucht Akkoord, Algemeen GGD-gezondheidsadvies over luchtverontreiniging, Algemeen GGD-gezondheidsadvies over Omgevingsgeluid, Kernwaarden Gezonde Leefomgeving, Programma GezondIn: burgers zijn hoofdrolspelers;
230619 VABP Heetveld 35-41 Sint Jansklooster (1).pdf;Bestemmingsplan Heetveld 35-41, Sint-Jansklooster;Bestemmingsplan;2023-06-19;Gemeente Steenwijkerland, Rookveen Vastgoed B.V., Rook Pijpleidingbouw, Heetveld, Sint-Jansklooster, De Wieden, E. Venema;Bestemmingsplan Zuidelijke Kernen (4 december 2012), Beheersverordening Buitengebied Steenwijkerland 2014;
230817 Richtlijnen PV-systemen beschermde stads- en dorpsgezichten 2023.pdf;Wijziging Welstandsnota: Richtlijnen PV-systemen in beschermde stads- en dorpsgezichten;Welstand en Duurzaamheid;2023-08-17;Vollenhove, Blokzijl, Kraggenlandschap, Dwarsgracht, Jonen, Giethoorn, College van burgemeester en wethouders, Welstandscommissie;Welstandsnota;
240527 Reflectierapport Zonnepark De Hoop (geanonimiseerd).pdf;Reflectie onderzoek Zonnepark De Hoop, Blokzijl;Zonne-energie;2024-05-27;Zonnepark De Hoop, Blokzijl, Baarlo, Coöperatie Steenergie, ROM3D, N333, Marknesseweg, Kuinderdijk, Rijkswaterstaat, TNO;;
240701 Raming hoofdpunten Stichtingskosten Bibliotheek aan de markt Steenwijk.pdf;Raming stichtingskosten Bibliotheek aan de Markt;Bibliotheek aan de Markt;2024-07-08;Bibliotheek aan de Markt, Steenwijkerland;;
240708 Raming hoofdpunten Stichtingskosten Spijkervetstallen.pdf;Raming stichtingskosten Museum Spijkervetstallen;Museum Spijkervetstallen;2024-07-08;Museum Spijkervetstallen, Steenwijkerland;;
240926 Ambitiedocument spoorzone steenwijk lage resolutie digitaal.pdf;Ambitiedocument Spoorzone Steenwijk 2040;Gebiedsontwikkeling;2024-09-26;Gemeente Steenwijkerland, Provincie Overijssel, Regio Zwolle, NS, Prorail, Waterschap Drents Overijsselse Delta, Het Oversticht, Defensie, Agrifac Machinery B.V., Kornelis Caps & Closures, Theater de Meenthe, RSG Tromp Meesters, Regionale Praktijk Academie, OEC 't Ravelijn, Goudappel, Royal HaskoningDHV, Steenwijk, Tuk, Zwolle, Havelte, Giethoorn, Oosterwolde, Station Steenwijk, LTS gebouw, Joodse begraafplaats, Steenwijker Aa, Tramlaan, Eesveenseweg, Stationsplein, Stationsstraat, Willem de Zwijgerstraat, J.H. Tromp Meestersstraat, Torenlanden, Oostwijken De Beitel, Oostermeenthe, Woldmeenthe, Kop van Overijssel, Koloniën van Weldadigheid;Woonagenda van Steenwijkerland, Verstedelijkingsstrategie: Warme Harten in een Klimaatadaptieve Delta (2023), Woondeal West-Overijssel (2022), Omgevingsvisie, Monitor Hubs Overijssel: Steenwijk (Goudappel 2023), Belevingsmonitor (NS & Prorail 2023), Afwegingskader wonen en werken, Coalitieakkoord, Verkeersstructuur Steenwijk (Royal HaskoningDHV, 2023), Strategische mobiliteitsvisie Steenwijkerland (2020), Fietsplan Steenwijkerland 2024-2027 (2023);
240926 magazine Steenwijk wonen en werken digitaal spreads.pdf;Afwegingskader Wonen en Werken Steenwijk;Woningbouw;2024-09-26;BVR Adviseurs, Gemeente Steenwijkerland, Steenwijk, Tuk, Regio Zwolle, Oostermeenthe, Nieuwe Gagels, Woldmeenthe, Biro, Provincie Overijssel, Stec groep, Betap Crilux locatie, Eeserwold 2, Woldmeenthe noord, Oostwijkstraat, Schansweg, De Kamp, Steenakkers, Hooijdijk, Steenwijker Aa;Woonagenda van Steenwijkerland, Verstedelijkingsstrategie Regio Zwolle, Warme Harten in een Klimaatadaptieve Delta, Ruimtelijke Economische Bouwsteen van de regio Zwolle, Stadsvisie Steenwijk, Omgevingsvisie Steenwijkerland, Kennisbank voorzieningenscan (Stipo 2012), Groennormen in de stad en omgeving (WUR 2022);
25 02 12 Kadernotitie begroting RSJ 2026, versie 0.5 februari 25.pdf;Kadernotitie en begroting RSJ IJsselland 2026;Jeugdhulp RSJ IJsselland;2025-02-12;Regio IJsselland, Regionaal Serviceteam Jeugd IJsselland (RSJ IJsselland), Regio Twente, Gelderse jeugdhulpregio’s (G7), Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Raalte, Gemeente Dalfsen, Gemeente Zwolle, Gemeente Steenwijkerland, Gemeente Staphorst, Gemeente Zwartewaterland, Gemeente Hardenberg, Ministerie van VWS, Expertise Netwerk (EN), Regionaal Expertise Team (RET), Provincie Overijssel, Provincie Gelderland, Landelijk ondersteuningsteam zorg voor de jeugd (OZJ);Regiovisie Jeugdhulp 2021 – 2025, Gemeenschappelijke Regeling Bedrijfsvoeringsorganisatie Regionaal Serviceteam Jeugd IJsselland (GR BVO RSJ IJsselland), Dienstverleningsovereenkomst (DVO), Wet beschikbaarheid jeugdhulp, Jeugdwet, Transformatieconvenant, Hervormingsagenda Jeugd, Actieplan Hervormingsagenda Jeugd IJsselland, Wet open overheid (Woo), Archiefwet, AVG;
25 02 12 Reactie brief verkennen ombuigingsmaatregelen.pdf;Reactie op verkenning ombuigingsmaatregelen RSJ IJsselland;Financiën GR RSJ IJsselland;2025-02-12;RSJ IJsselland, College van Burgemeester en Wethouders, BO-RSJ IJsselland, GGD IJsselland, Michiel van Willigen, Inge Degen, Zwolle;Brief d.d. 7 oktober 2024 (verkenning ombuigingsmaatregelen), Begroting 2024 en 2025, Kadernotitie en begroting 2026, Besluit BO-RSJ IJsselland d.d. 11 december 2024, Landelijke Hervormingsagenda Jeugd;
25-03 Aanlegfase Overhavendijk Kuinre Aerius.pdf;AERIUS Projectberekening Aanlegfase Overhavendijk Kuinre;Stikstof;2024-03-25;BJZ.nu B.V., Kuinre, Overhavendijk;;
25-03 Gebruiksfase Overhavendijk Kuinre Aerius.pdf;Projectberekening AERIUS Calculator Gebruiksfase Kuinre, Overhavendijk;Stikstof;2024-03-25;BJZ.nu B.V., Overhavendijk, Kuinre, AERIUS Calculator, Natura-gebieden, Wet natuurbescherming;;
250063_20251024-Woonwagenbeleid_Steenwijk.pdf;Woonwagenbeleid Steenwijkerland - Richting 2035;Woonwagenbeleid;2025-10-24;Gemeente Steenwijkerland, Melvin Smit, Ministerie van Binnenlandse Zaken (BZK), Minister Ollongren, Wetland Wonen Groep, Woonconcept, KAW, Europees Hof voor de Rechten van de Mens, Nieuwe Onnastraat (Steenwijk), Parallelweg (Steenwijk), Verlaatseweg (Steenwijk), De Deukten (Giethoorn), David van Bourgondiënstraat (Vollenhove);Beleidskader gemeentelijk woonwagen- en standplaatsenbeleid (12 juli 2018), Woonagenda 2022-2026, Prestatieafspraken 2023-2027, Behoefteonderzoek naar woonwagens en standplaatsen KAW (2024), Europees Verdrag voor de Rechten van de Mens (EVRM);
29.0 College - Gebiedsvisie Steenwijk Oost - Het vrije veld - Besluit.pdf;Gebiedsvisie Steenwijk Oost;Gebiedsontwikkeling;2024-07-02;J.H. Bats, M. Smit, T. Jongman, B. Harmsma, M. Scheringa, M.W. de Graaf, René Sturre, Steenwijk Oost, Steenwijk, Steenwijkerland, CSG Eekeringe, Meppelerweg, Scholestraat, locatie Ford Greve, Coöp, bureau DtnP, Stichting Steenwijk Vestingstad, Avanty, voormalige Rabobank, Team Economie en Recreatie, College van burgemeester en wethouders, gemeenteraad;Reactienota Steenwijk Oost, Eindrapport gebiedsvisie, Omgevingsvisie Steenwijkerland, Afwegingskader toekomstige woningbouw- en werklocaties, Verstedelijkingsstrategie, Ambitiedocument spoorzone, Petitie werkgroep bewoners;
29.0 Informatienota 2022 - 62 - Traject Regionale Energie Strategie (RES) 1.0 naar 2.0 en verder.pdf;Informatienota traject Regionale Energie Strategie (RES) 1.0 naar 2.0;Regionale Energie Strategie (RES);2022-12-06;Gemeente Steenwijkerland, Regio West Overijssel, Rijk, J.H. Bats, M. Smit, T. Jongman, B. Harmsma, Marcel Scheringa, Marco de Graaf, J.C. de Groot, Henriëtte de Jong;Klimaatakkoord (28 juni 2019), Concept RES (19 mei 2020), Hoofdlijnenakkoord (21 april 2021), RES 1.0 (22 juni 2021), Tussenstand RES West-Overijssel van 1 juli 2022, Informatienota van 12 juli (2022);
29.1 College - Gebiedsvisie Steenwijk Oost - Het vrije veld_definitief.pdf;Gebiedsvisie Steenwijk Oost - Het vrije veld;Gebiedsontwikkeling;2024-05-28;Gemeente Steenwijkerland, DTNP, R. Sturre, P. Rosmulder, D. Veenstra, Steenwijk, Steenwijk Oost, SG Eekeringe, Lijsterbesstraat, Oostwijkstraat, Parkeerterrein Eekeringe/Schans, Voormalige Rabobank, Ford Greve, Meppelerweg, Coop, Plus, Scholestraat, Sportschool Avanty, De Heuvel, Basisschool Het Kompas, Parkeerterrein Onnapoort, Stadsgracht, Stadswal;Integraal huisvestingsplan;
3 Goed werkgeverschap na dienstongevallen - hand-out hoofdpunten.pdf;Goed werkgeverschap na dienstongevallen;Dienstongevallen Veiligheidsregio's;2021-12-16;Veiligheidsregio's, Veiligheidsberaad, VNG, gemeenteraden;;
3. Dekkingsplan IJsselland 2022.PDF;Dekkingsplan 2022 (concept);Integrale brandweerzorg;;Brandweer, IJsselland;Landelijke handreiking;
3. P02425 BP Willemsoord - Prins van Oranjelaan_verbeelding_ONTWERP_20122021.pdf;Verbeelding ontwerp bestemmingsplan Willemsoord - Prins van Oranjelaan;Bestemmingsplan;2021-12-20;Annie Klijzinglaan, Ir. C.A. Kloosterhuisstraat, Prins van Oranjelaan, Willemsoord, Gemeente Steenwijkerland, Buro Hoogstraat Olst, de adviesgroep nederland;;
3.0 RSJ -231016 Aanbieding GR RSJ.pdf;Aanbieding Wijziging en Gemeenschappelijke Regeling RSJ IJsselland;Wijziging Gemeenschappelijke Regeling;2023-10-16;Griffierskring IJsselland, GGD IJsselland, Omgevingsdienst IJsselland, Veiligheidsregio IJsselland, RSJ IJsselland;Notities van de griffierskring IJsselland en bestuurssecretarissen (2022 en 2023), Wijziging WGR (1 juli 2022), Bijlage 1: Voorzet voor een notitie over de beoogde wijzigingen van de GR RSJ IJsselland, Bijlage 2: Notitie met de voorgestelde wijzigingen in de gemeenschappelijke regeling RSJ IJsselland, Bijlage 3: Concept voor de nieuwe GR RSJ IJsselland;
3.1 RSJ - GR-Bedrijfsvoeringsorganisatie-Jeugdhulp-IJsselland 16 oktober 2023.pdf;Wijziging Gemeenschappelijke regeling Bedrijfsvoeringsorganisatie Regionaal Serviceteam Jeugd IJsselland;Gemeenschappelijke Regelingen;2023-10-16;Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, RSJ IJsselland, Regionaal Serviceteam Jeugd IJsselland;Wet gemeenschappelijke regelingen, Jeugdwet, Aanbestedingswet 2012, Gemeenschappelijke regeling Uitvoeringsorganisatie Jeugdzorg IJsselland;
3.1 RSJ Aanbieding GR RSJ 28042024.pdf;Wijziging GR Regionaal Serviceteam Jeugd IJsselland;Wijziging Gemeenschappelijke Regeling (GR);2024-03-28;Regionaal Serviceteam Jeugd IJsselland, Zwolle, Gemeente Kampen, Colleges van burgemeester en wethouders van deelnemende gemeenten;Bijlage 1: Voorstel voor gemeenteraden, Bijlage 2: Toelichting op de wijzigingsvoorstellen, Bijlage 3: Concept-aangepaste gemeenschappelijke regeling Regionaal Serviceteam Jeugd IJsselland, Zienswijze gemeenteraad Kampen;
3.2 RSJ GR-Bedrijfsvoeringsorganisatie-Jeugdhulp-IJsselland versie 28 maart.pdf;Wijziging Gemeenschappelijke regeling Regionaal Serviceteam Jeugd IJsselland;Jeugdhulp;;Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, RSJ IJsselland, Regionaal Serviceteam Jeugd IJsselland, Uitvoeringsorganisatie Jeugdzorg IJsselland;Gemeenschappelijke regeling Uitvoeringsorganisatie Jeugdzorg IJsselland, Wet gemeenschappelijke regelingen, Jeugdwet, Aanbestedingswet 2012;
3D-Impressies - 05-07-2023 - 230705_B2139_DI00.pdf .pdf;Definitief Ontwerp 3D Impressies Herbestemming voormalige Rabobank;Herbestemming;2023-07-05;Steenwijk, voormalige Rabobank;;
4 Goed werkgeverschap na dienstongevallen - concept besluit AB VRIJ.pdf;Concept-besluit oprichting en deelname stichtingen risicobeheer en waarborgfonds veiligheidsregio's;Goed werkgeverschap na dienstongevallen;;Veiligheidsregio IJsselland, VNG, Veiligheidsberaad, Autoriteit Financiële Markten (AFM), De Nederlandse Bank (DNB);Wet gemeenschappelijke regelingen (artikel 31a, lid 2), Principebesluit Veiligheidsberaad 4 oktober 2021;
4. b_NL.IMRO.1708.WLOprinsvoranjelBP-ON01_regels_20122021.pdf;Bijlagen bij de regels Ontwerpbestemmingsplan Willemsoord;Bestemmingsplan;2021-12-20;Willemsoord;;
4. Plan van aanpak PRT 2024.pdf;Plan van aanpak PRT Overijssel 2024;Asiel, opvang en huisvesting;;PRT Overijssel, Overijssel;;
4.0 informatienota 2026 - 2 - Decembercirculaire 2025 gemeentefonds.pdf;Informatienota Decembercirculaire 2025 gemeentefonds;Gemeentefonds;2026-01-20;College van burgemeester en wethouders, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, Rijksoverheid;Septembercirculaire 2025, Perspectiefnota 2026-2030;
4.1 Kaderbrief bij begroting Veiligheidsregio IJsselland 2026.pdf;Kaderbrief bij begroting Veiligheidsregio IJsselland 2026;Begroting Veiligheidsregio IJsselland;;Veiligheidsregio IJsselland;;
4.1 VRIJ - Bijlage 4 conceptregeling Veiligheidsregio IJsselland.pdf;Concept Gemeenschappelijke Regeling Veiligheidsregio IJsselland 2024;Gemeenschappelijke regeling (Veiligheidsregio);2023-09-27;Veiligheidsregio IJsselland, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle;Wet veiligheidsregio's, Wet gemeenschappelijke regelingen (Wgr);
4.1 VRIJ Aanbiedingsbrief wijziging gemeenschappelijke regeling.PDF;Vervolg wijziging gemeenschappelijke regeling VRIJ;Wijziging GR VRIJ;2024-03-28;Veiligheidsregio IJsselland, Zwolle, Kampen, gemeenteraad van Kampen;Brief van 16 oktober 2023 (conceptvoorstellen tot wijziging van de GR VRIJ), Wet gemeenschappelijke regelingen, Zienswijze gemeenteraad van Kampen;
4.2 VRIJ Toelichting wijzigingen GR VRIJ.pdf;Hoofdpunten en argumenten voor wijzigingsvoorstellen GR VRIJ;Wijziging Gemeenschappelijke Regeling;;GR VRIJ, Gemeenteraden, Algemeen bestuur, Dagelijks bestuur;;
40.0 College - Memo toelichting ontwikkelingen Scala.pdf;Toelichting situatie Scala – vervolgproces na BO 12 december;Stichting Scala;2022-12-14;Gemeenteraad Steenwijkerland, College van burgemeester en wethouders, stichting Scala -Centrum voor de Kunsten, gemeente Westerveld, gemeente De Wolden, gemeente Meppel, gemeente Steenwijkerland;Subsidie aanvraag 2023, Informatie van en over Scala (11 november 2022);
41.0 Burger -  Petitie 'Red Scala'.pdf;Toelichting bij petitie 'Red Scala';Scala;2022-12-14;Meppel, Steenwijkerland, Hoogeveen, De Wolden, Westerveld, Scala, Theater De Meenthe, Steenwijk, Johan Rozema, Jacomijn Rozema;Petitie 'Red Scala';
5. b_NL.IMRO.1708.WLOprinsvoranjelBP-ON01_Rb1.pdf;Bijlage 1 bij de regels: toegesneden lijst van bedrijfstypen;Ruimtelijke ordening / Vestigingsbeleid bedrijven;;;Bijlage 1 bij de regels, Staat bedrijfstypen: bedrijven, Staat bedrijfstypen: opslagen en installaties;
5.0 informatienota 2026 - 3 - Regionale Samenwerkingsagenda Energie West-Overijssel.pdf;Informatienota Regionale Samenwerkingsagenda Energie West-Overijssel;Duurzaamheid;2026-01-27;College van burgemeester en wethouders, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, Henriëtte de Jong, Bestuurlijke Energietafel (BET) West-Overijssel, West-Overijssel, NP RES, Provincie;Bestuurlijke Routekaart (oktober 2024), Regionale Samenwerkingsagenda Energie / Samenwerkingsagenda 2026-2030 (eind 2025), RES 1.0 (2021);
5.1 Informatienota 2026 - 3.1 -  Bijlage Regionale Samenwerkingsagenda Energie West-Overijssel 2026-2030.pdf;Regionale Samenwerkingsagenda Energie West-Overijssel 2026-2030;Energie;2025-12-04;West-Overijssel;;
6. b_NL.IMRO.1708.WLOprinsvoranjelBP-ON01_Rb2.pdf;Bijlage 2. Overzicht aan huis gebonden beroepen en bedrijven;Aan huis gebonden beroepen;;Kamers van Koophandel;;
7. Bijlage 1. Advies ecologie (1).pdf;Intern advies ecologie & biodiversiteit;Nieuwbouw;2021-12-21;Jan Mulder, Maarten Kaales, Prins van Oranjelaan, Willemsoord, Wet natuurbescherming, Natura 2000-gebied;;
7.0 College - Verslag toezicht op beheer niet-overgebrachte archieven 2025.pdf;Verslag toezicht op beheer niet-overgebrachte archieven 2025;Archiefbeheer;2026-01-13;Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Henriëtte de Jong, Jelmer Trox, Dennis Eikenaar, Gedeputeerde Staten van Overijssel, Gemeente Steenwijkerland, VNG, College van burgemeester en wethouders, Gemeenteraad;Archiefwet 1995, Kritische Prestatie Indicatoren (KPI's) voor de gemeentelijke archiefketen (versie 2020);
7.1 College - Verslag toezicht op het beheer van de niet-overgebrachte archieven 2025-bijlage.pdf;Verslag toezicht op het beheer van de niet-overgebrachte archieven 2025;Archiefbeheer;;Gemeentearchivaris;;
8. bijlage 2. AERIUS_bijlage_20220623074342_GebruiksfaseRVrPqYvLqQYR.pdf;Projectberekening AERIUS Calculator;Stikstof;2022-06-23;AERIUS Calculator, Natura 2000-gebieden, Wet natuurbescherming;;
8.0 College 1 - Bewonersbrief def.pdf;Bewonersbrief mogelijke opvang nareizigers in Fletcher Hotel;Asielopvang;2026-01-23;Gemeente Steenwijkerland, Steenwijk, Fletcher Hotel, COA, Minister van Asiel en Migratie, Wijkvereniging De Middenweg;Verslag inloopavond 12 september 2024, Raadsbesluit gemeenteraadsvergadering 1 oktober 2024, Spreidingswet;
8.1 College 1 - Begeleidende brief bij bewonersbrief.pdf;Begeleidende brief bij bewonersbrief inzake tijdelijke opvang asielzoekers in Fletcher Hotel;Asielopvang;2026-01-23;COA, Fletcher Hotel, Steenwijk, Dennis Eikenaar, Gemeente Steenwijkerland;Raadsbesluit oktober 2024 (inzake opvang kansrijke asielzoekers en statushouders), Bewonersbrief omgeving Fletcher Hotel;
9. Bijlage 3. Digitale watertoets.pdf;Digitale watertoets Woningbouw Prins van Oranjelaan Willemsoord;Woningbouw;2021-07-06;Thom Melenhorst, Waterschap Drents Overijsselse Delta, Prins van Oranjelaan, Willemsoord;Wet ruimtelijke ordening (Wro), Waterbeheerplan 2016-2021, Water Raakt!, De Keur, Verbreed gemeentelijke rioleringsplan (vGRP);
9.0 Besluit college pachtbeleid 3 feb 2026.pdf;Besluit Pachtbeleid gemeente Steenwijkerland;Pachtbeleid;2026-02-03;Gemeente Steenwijkerland, Erik de Groot, Melvin Smit, Trijn Jongman, Marcel Scheringa, Miriam Slomp-Dekkers, Dennis Eikenaar, Jelmer Trox, LTO Steenwijkerland, Team Economie en Recreatie, Afdeling Vitaal platteland, Afdeling Ruimtelijke ontwikkeling en projecten;Didam-arrest, Collegebesluit van 30 januari 2024;
9.1 Pachtbeleid gemeente Steenwijkerland - bijlage bij besluit.pdf;Pachtbeleid gemeente Steenwijkerland;Pachtbeleid;;Gemeente Steenwijkerland;;
Aanbiedingsbrief financiele stukken OD IJsselland.pdf;Aanbieden financiële stukken jaarcyclus Omgevingsdienst IJsselland;Financiën Gemeenschappelijke Regeling (OD IJsselland);2024-04-16;Omgevingsdienst IJsselland, Gemeenteraden, Provinciale Staten, Zwolle;Kaderbrief 2025, Ontwerpbegroting 2025, Ontwerpbegrotingswijziging 2024, Voorlopige jaarstukken 2023, Wet gemeenschappelijke regelingen, Programma Samen Toekomstbestending (STB), Interbestuurlijk Programma VTH (IBP-VTH);
aanbiedingsbrief gemeenteraden - Programmabegroting 2024.pdf;Concept Programmabegroting 2024;Programmabegroting;2023-03-16;Veiligheidsregio IJsselland, Gemeenteraden, Algemeen bestuur, Tien organisatieadvies, Brandweer, GHOR, Zwolle;Financiële en beleidsmatige kaders en uitgangspunten voor de programmabegroting 2024, Meerjarenbegroting 2023-2027;
aanbiedingsbrief gemeenteraden conceptprogrammabegroting 2025 VR IJsselland.pdf;Aanbieding concept-programmabegroting 2025;Programmabegroting VR IJsselland;2024-03-27;Veiligheidsregio IJsselland, Gemeenteraden, Algemeen bestuur (Veiligheidsregio IJsselland), Brandweer, GHOR, Crisisbeheersing;Financiële en beleidsmatige kaders en uitgangspunten voor de programmabegroting 2025 (22 februari 2024), Concept programmabegroting 2025;
aanbiedingsbrief Programmabegroting 2023 Veiligheidsregio IJsselland.pdf;Aanbiedingsbrief Concept Programmabegroting 2023 Veiligheidsregio IJsselland;Zienswijze GR;2022-03-29;Veiligheidsregio IJsselland, Zwolle, GGD, Omgevingsdiensten, Regionaal Serviceteam Jeugd (RSJ), Brandweer, GHOR, Crisisbeheersing;Financiële en beleidsmatige kaders en uitgangspunten voor de programmabegroting 2023;
