Bijlage 3 Reactienota Fietsplan 20230330.pdf;Reactienota concept Fietsplan;Fietsplan / Mobiliteit;2023-03-30;Inwonerspanel Steenwijkerland, PBKH (Plaatselijk Belang Kalenberg-Hoogeweg), BVVS, V.E.N.O., Fietsersbond, VVN Steenwijkerland, Provincie Overijssel, Rijk, CROW, Otterskooi, Oude Kerkweg, Jonenweg, Truilpad, Hoogeweg, Meentheweg, Kalenbergerpad, Weerribben-Rottige Meente, Driewegsluis, Meenthebrug, Overlendepad, N761, Paardenmarkt, Gedempte Diep, Neerwoldstraat, Goeman Borgesiusstraat, Tukseweg, Noordwal, Bentepad, Vollenhoofsedijk, Oude Zuiderzeedijk, Weg van Twee Nijenhuizen;Kernnet Fiets Overijssel, Strategisch Plan Verkeersveiligheid 2030, Beleidsplan Openbare Verlichting, Fietsmonitor 2022, Rapport van de verkeerspsycholoog (Steenwijkerdiep), Strategische mobiliteitsvisie;Jonen en Dwarsgracht, Kalenberg, Giethoorn, Belt-Schutsloot, Oldemarkt, Ossenzijl, Steenwijk Centrum / Binnenstad, Steenwijkerdiep, Vollenhove, Tuk, Steenwijkerwold en Witte paarden, Blokzijl, Kuinre
Bijlage 3 Reactienota Fietsplan.pdf;Reactienota Fietsplan;Verkeer en Vervoer;Onbekend;Inwonerspanel Steenwijkerland, PBKH, BVVS, V.E.N.O., Fietsersbond, VVN Steenwijkerland, Provincie, Rijk, Otterskooi, Oude Kerkweg, Jonenweg, Truilpad, Hoogeweg, Meentheweg, Kalenbergerpad, Natuurverbinding Weerribben-Rottige Meente, Driewegsluis, Meenthebrug (Lange pad), Overlendepad, N761, Steenwijk Noord, Paardenmarkt, Neerwoldstraat, Goeman Borgesiusstraat, Tukseweg, Noordwal, Bentepad, Thij, Oude Zuiderzeedijk, Weg van Twee Nijenhuizen, Vollenhoofsedijk;Concept Fietsplan, Inrichtingseisen fietsvoorzieningen Kernnet Fiets Overijssel, Strategisch Plan Verkeersveiligheid 2030, Fietsmonitor 2022, Beleidsplan Openbare Verlichting, Rapport van de verkeerspsycholoog over het Steenwijkerdiep, Strategische mobiliteitsvisie, Landelijke ontwerprichtlijnen van het CROW;Jonen en Dwarsgracht, Kalenberg, Giethoorn, Belt-Schutsloot, Oldemarkt, Ossenzijl, Steenwijk Centrum / Binnenstad, Steenwijkerdiep, Vollenhove, Tuk, Steenwijkerwold en Witte paarden, Blokzijl, Kuinre
Bijlage 3 Rekenresultaten bestaande N-emissie veroorzakende activiteiten.pdf;AERIUS Projectberekening N-emissie Leeuwte 47, Sint Jansklooster;Stikstof;2023-05-02;BJZ.nu, AERIUS, Natura 2000, De Wieden;;Sint Jansklooster, Moespot en Leeuwte
Bijlage 3 TOE Update Aerius januari 2023.pdf;Memo Aeriuscalculatie Dwarssloot Oost 6, Zuidveen;Stikstof;2023-01-17;Dwarssloot Oost 6, Zuidveen, Bureau Biota, G. Milder-Mulderij, mw. Sollie-van 't Hag, Zuidema Omgevingsrecht, Provincie Overijssel;Wet Stikstofreductie en Natuurverbetering, Wet natuurbescherming, Toekomstbestendig parkeren (CROW, 2018), Checklist aanvraagvereisten vergunningaanvragen stikstof van de Provincie Gelderland;
Bijlage 3 van de toelichting - ecologische quickscan.pdf;Ecologische quickscan uitbreiding melkveehouderij Jan van Nassauweg 12 Giethoorn;Verduurzaming melkveehouderij;2022-02-25;Rensen Milieu Advies VOF, F. Rensen, Florauna Natuuradvies, Nicole Schuurmans, Jan van Nassauweg 12, Gemeente Steenwijkerland;Beheersverordening Buitengebied Steenwijkerland 2014;Giethoorn
Bijlage 3 van de toelichting.pdf;Onderbouwing Beulakerweg 165;Ruimtelijke ordening;2023-07-25;Beulakerweg 165;Watertoets Beulakerweg 165;Giethoorn
Bijlage 3- Brief zienswijze op programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland.pdf;Zienswijze ontwerp programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland;Zienswijze GR;2022-05-01;GGD IJsselland, Algemeen bestuur GGD IJsselland, Rijk, Colinde Heijink, Annet ten Hoff, Rob Bats;Brief 5 april 2022 (ontwerp programmabegroting), Ontwerp programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland, Landelijke coalitieakkoord 2021-2025 'Omzien naar elkaar, vooruitkijken naar de toekomst';
Bijlage 3- Uitwerking bijeenkomst 10 mei 2023.pdf;Uitwerking bijeenkomst gezondheidsbeleid Steenwijkerland;Gezondheidsbeleid;2023-05-10;Wethouder Trijn Jongman, De Meenthe, Stichting Regenboog Steenwijkerland, Tactus Verslavingszorg, Samen met Ana, Denktank 60+ Noord, Raad van Ouderen, GGD IJsselland, Sportservice Zwolle, Onwijs Vitaal leefstijl & Vitaliteit Coaching, Huisartsenpraktijk De Allee, Sociaal Werk de Kop, NoordWest Groep, RIBW Overijssel, Belangenvereniging Vollenhove Stad, Fysiotherapie de Bruijn, Irene’s coachpraktijk, De Kindervilla, Stichting Suïcidepreventie, Vrijwilligers Informatie Punt, Fysiotherapie Steenwijk, Vizier, Gezondheidscentrum de Allee, Stichting Jy, Adviesraad Sociaal Domein;Gezondheidsmonitor volwassenen en ouderen GGD IJsselland, Jongerenmonitor GGD IJsselland, Kindermonitor GGD IJsselland, Woningmarktonderzoek Steenwijkerland (2021-2031-2041), Peiling veiligheid (2022) van het inwonerspanel Steenwijkerland;
Bijlage 3. Erfinrichtingsplan.pdf;Erfinrichtingsplan agrarisch bedrijf aan de Kanaaldijk;Erfinrichting;;Kanaaldijk, Agrarisch bedrijf;;
Bijlage 3. Verkennend bodemonderzoek.pdf;Verkennend bodemonderzoek Brink 26 Scheerwolde;Woningbouw;2019-05-03;Grondslag BV, KIWA, Omgevingsdienst IJsselland, Provincie Overijssel, Gemeente IJsselham, Brink 20, Brink 22, Brink 24, Brink 26;;Scheerwolde
Bijlage 3a Rapportage Verkeersonderzoek zuidelijke ontsluiting Blokzijl samengevoegd.pdf;Verkeersonderzoek Zuidelijke ontsluiting Blokzijl;Verkeer en Infrastructuur;2025-11-12;Goudappel BV, Gemeente Steenwijkerland, Marknesserweg, Kanaalweg;Stadsvisie Blokzijl (concept), oktober 2024;Blokzijl
Bijlage 3b Ontwerpnota zuidelijke ligging ontsluitingsweg Blokzijl (1).pdf;Aanvullende nota zuidelijke ligging ontsluitingsweg Blokzijl;Infrastructuur en Verkeer;2025-11-12;Goudappel BV, Rico Andriesse, Zuiderzeeweg, Kanaalweg, Vollenhoofsedijk;Verkeersonderzoek Zuidelijke Ontsluiting Blokzijl, Bomen-effectanalyse (BEA), 022165.20251 104.T01.01.0 3-schetsvoorstel.pdf, Stadsvisie;Blokzijl
Bijlage 3c Ontwerpschets Goudappel.pdf;Schetsvoorstel zuidelijke rondweg Blokzijl;Infrastructuur;2025-11-12;Goudappel, Remon Siegel, Gemeente Steenwijkerland, Kanaalweg, Zuiderzeeweg, Vollenhoofsedijk, Scheepsdiep;;Blokzijl
Bijlage 3_uitnodiging en verslag inloopavond omwonenden.pdf;Uitnodiging en verslag inloopavond starters chalets Ossenzijl;Woningbouw;2024-05-22;Werkgroep Wonen, Plaatselijk Belang Ossenzijl, Dorpshuis de Slinger, Gemeente Steenwijkerland, Iris Nauta, Henny van Rij, Bas Broekhuizen, Jacob Plat, Jarno Rotink, Monique Rotink, Bertha Veenstra, Stichting WoonWens Ossenzijl, SBB, G.B. Kooijstraat, De Korten, Burg. van der Veenweg;Tijdelijk woonbesluit;Ossenzijl
Bijlage 4  Stikstofberekeningen.pdf;Adviesrapport Stikstofberekening verkaveling Jan Steenstraat, Steenwijk;Stikstof;2021-09-14;Woonconcept, Ecogroen bv, Jan Steenstraat, Natura 2000-gebied De Wieden, Natura 2000-gebied Weerribben, Natura 2000-gebied Holtingerveld, A. Gerritsma, A. Alberts, B. Reijner;;
Bijlage 4 - concept Lquidatieplan RSJ.pdf;Concept Liquidatieplan RSJ IJsselland;Opheffing Gemeenschappelijke Regeling;2025-04-09;RSJ IJsselland, GGD IJsselland, Michiel van Willigen, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle;Samen robuust, 7e wijziging GR GGD IJsselland, gemeenschappelijke regeling Bedrijfsvoeringsorganisatie Regionaal Serviceteam Jeugd IJsselland;
Bijlage 4 - Infoplaat_museumplan_DEFnw.pdf;Infoplaat Museumplan Kunst- en Erfgoedhuis;Museumplan;;Stadsmuseum Steenwijk, Hildo Krop Museum, Kermis- en Circusmuseum, Historische vereniging Steenwijk, Galerie Steenwijk;;
Bijlage 4 - Kerngegevens_2024_Steenwijkerland.pdf;Kerngegevens GGD IJsselland 2024 gemeente Steenwijkerland;Volksgezondheid en Zorg;2025-02-01;GGD IJsselland, Icebear, Regio IJsselland, Regio Oost;Begrotingen GGD IJsselland, Productenboek GGD IJsselland, WOO-verzoek Icebear, Voorstel GGD werkwijze bodemverontreinigingen PFAS, Handreiking arseen in bodem, GALA, IZA;
Bijlage 4 - Perceellijst.pdf;Perceellijst bij voorkeursrechtbeschikking;Vestiging voorkeursrecht;2024-01-08;College van burgemeester en wethouders, Kadaster, Coöperatieve Rabobank U.A., De Diaconie Der Hervormde Gemeente Te Oldemarkt-Paasloo, De Kerkvoogdij Der Hervormde Gemeente Te Oldemarkt-Paasloo, Gemeente Steenwijkerland, Marco de Graaf (gemeentesecretaris), Rob Bats (burgemeester);Voorkeursrechtbeschikking (besluit), Bijlage 1 (besluit), Bijlage 2 (grondtekening);Ijsselham, Oldemarkt, Paasloo en de Basse
Bijlage 4 - Quickscan natuurwaarden.pdf;Natuurtoets Oldemarktseweg 103, Steenwijkerwold;Woningbouw;2022-04-27;BJZ.nu, M. ten Klooster, S. van Staa, T. Dalderup, Oldemarktseweg 103;;Steenwijkerwold en Witte paarden
Bijlage 4 - Raadsbesluit 2024-RAAD-00010 inclusief bijlagen.pdf;Vestiging voorkeursrecht op 12 percelen in Oldemarkt;Voorkeursrecht;2024-03-26;College van burgemeester en wethouders, Kadaster, De Lende, Ossenzijlerweg;Voorstel van burgemeester en wethouders 2023-RAAD-00010 (06-02-2024), Collegebesluit voorkeursrechtbeschikking (09-01-2024);Oldemarkt
Bijlage 4 - Zienswijze indiener 2.pdf;Zienswijze voorkeursrecht voor windmolens;Windenergie;2024-02-29;Natura 2000, Energie coöperatie EN, Gemeenteraad Steenwijkerland;;Oldemarkt, Ossenzijl
Bijlage 4 bij de toelichting - Inrichtingstekening.pdf;Inrichtingstekening Wethouder Slootstraat / De Erfgenamen, Bergstein;Ruimtelijke inrichting;2022-12-16;Woonconcept, Roelofsgroep, Wethouder Slootstraat, De Erfgenamen, Bergstein, Wethouder Zeefatstraat, De Heerlijkheid, Tukseweg, Weldadigheid;;
BIJLAGE 4 Financiele bijdragen tbv gebiedsontwikkeling.pdf;Uittreksel Omgevingswet: Financiële bijdragen gebiedsontwikkeling;Gebiedsontwikkeling;2024-01-01;College van burgemeester en wethouders, Gedeputeerde staten, Minister van Binnenlandse Zaken en Koninkrijksrelaties;Omgevingswet;
bijlage 4 Nota beantwoording zienswijzen deel 2 zienswijzen en reacties gebundeld definitief .pdf;Nota van beantwoording zienswijzen deel 2;Zienswijzen Stadsvisie Steenwijk;Onbekend;CBS, Planbureau voor de Leefomgeving, Provincie Overijssel, Rijkswaterstaat, Waterschap, Theater De Meenthe, Poppodium De Buze, Bewonersvereniging binnen de Veste, Ondernemersvereniging Steenwijk Vestingstad, Bedrijventerrein Hooidijk, Bedrijventerrein Dolderweg, Station Steenwijk, Steenwijker Aa, Kanaal Beukers-Steenwijk;Stadsvisie, Ambitiedocument Spoorzone (2024), Woningmarkt-onderzoek (2025), Uitvoeringsagenda binnenstad Steenwijk, Lokale Inclusie agenda, VN verdrag Handicap, Wet Participatie Decentrale Overheden, Verstedelijkingsstrategie;Steenwijk Centrum / Binnenstad, Woldmeenthe, Oostermeenthe, Steenwijkerdiep, Ossenzijl
Bijlage 4 Onderzoeksrapport 2016 .pdf;Onderzoeksrapport Scenario's voor de toekomst van het gemeentearchief Steenwijkerland;Gemeentearchief;2016-03-01;Roel Lensen, Gemeentearchief Steenwijkerland, Nationaal archief, HCO;Archiefwet 1995, Wet Revitalisering Generiek Toezicht, Evaluatie raadsbesluit;
Bijlage 4 Rekenresultaten verschilberekening toekomstige gebruiksfase referentiesituatie.pdf;AERIUS Projectberekening verschilberekening Leeuwte 47;Stikstof;2023-05-02;BJZ.nu, De Wieden, Natura 2000;;Sint Jansklooster, Moespot en Leeuwte
Bijlage 4 richtlijnen monumentencommissie inclusief wijziging PV-panelen 2023 def.pdf;Richtlijnen/aandachtspunten welstands- en monumentencommissie versie 2023;Welstand en Monumentenzorg;2023-01-01;Welstands- en monumentencommissie, Gemeente, College van burgemeester en wethouders;;
Bijlage 4 Te slopen bebouwing en saneringsopgave.pdf;Te slopen bebouwing en saneringsopgave;Sloop en sanering;;;;
Bijlage 4- Addendum begroting GGD IJsselland 2023.pdf;Addendum begroting GGD IJsselland 2023;Begroting GGD IJsselland;2022-04-15;GGD IJsselland, Algemeen bestuur GGD, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Zwartewaterland, Zwolle;Programma begroting 2023, Masterplan JGZ – Ontschotten financiering Jeugdgezondheidszorg, Begroting 2021, Begroting 2022;
Bijlage 4. Omvang recreatie activiteiten.pdf;Omvang recreatie activiteiten Hoeve Montigny;Recreatie;;Hoeve Montigny, Kanaaldijk 5;;Giethoorn
Bijlage 4a van de toelichting - Aerius gebruiksfase.pdf;AERIUS Projectberekening Melkveebedrijf Batenburg;Stikstof;2023-01-27;P.J. Aalberts, J.H. Bransma, Melkveebedrijf Batenburg, Jan van Nassauweg 12, De Wieden;;Giethoorn
Bijlage 4b van de toelichting - Aerius aanlegfase.pdf;Projectberekening AERIUS aanlegfase Jan van Nassauweg 12;Stikstof;2023-01-27;Melkveebedrijf Batenburg, Jan van Nassauweg, Natura 2000;;Giethoorn
Bijlage 5 - Aerius-berekening gebruiksfase.pdf;AERIUS-berekening gebruiksfase nieuwbouw woningen Oldemarktseweg 103;Stikstof;2022-11-10;M. ten Klooster, Oldemarktseweg 103, Natura 2000;;Steenwijkerwold en Witte paarden
Bijlage 5 - brief zienswijze raad Olst-Wijhe zienswijze taken RSJ naar de GGD.pdf;Zienswijze raad Olst-Wijhe over overheveling taken RSJ naar de GGD;Zienswijze GR;2025-06-23;Gemeente Olst-Wijhe, GGD IJsselland, RSJ IJsselland, Klaas-Jan Ritzema, Wethouder Compagner, Sietske Poepjes;Brief besturen GGD en RSJ (30 april), Vergadering Algemeen Bestuur (24 april), Raadsvergadering Olst-Wijhe (23 juni 2025);
Bijlage 5 - persbericht - College komt met aangescherpt Masterplan voor nieuw museum.pdf;College komt met aangescherpt Masterplan voor nieuw museum;Nieuw museum;2023-02-21;Wethouder Trijn Jongman, Spijkervetstallen, Stadsmuseum Steenwijk, Kermis- en Circusmuseum, Hildo Krop Museum, Historische Vereniging Steenwijk e.o., Galerie Steenwijk, Gasthuisstraat, Markt, Onnastraat, Kalverstraat, museumwerkgroep;Masterplan 'Op weg naar een nieuw museum in Steenwijkerland' (december 2021);Steenwijk Centrum / Binnenstad
Bijlage 5 - Programmabegroting 2026 GGD IJsselland.begeleidende brief gemeenteraden def.pdf;Begeleidende brief ontwerp-programmabegroting 2026 en meerjarenraming 2027-2029 GGD IJsselland;Zienswijze GR;2025-04-09;GGD IJsselland, Dagelijks bestuur GGD IJsselland, Algemeen bestuur GGD IJsselland, J. Homburg, Astrid Schulting, Rijk, Politie;Kaderbrief bij begroting 2026, Programmabegroting 2025, Jaarstukken 2024, Bestuursrapportage voorjaar 2025, Kadernota 2026;
Bijlage 5 - Windladder.pdf;Toelichting bij de Overijsselse windladder;Windenergie;2022-11-01;Provincie Overijssel, Natura 2000, NNN;Provinciale Omgevingsvisie 2022, Omgevingsverordening 2022, RESsen 1.0, Catalogus Gebiedskenmerken;
Bijlage 5 - Zienswijze indiener 4.pdf;Zienswijze tegen vestiging voorkeursrecht perceel IJsselham;Vestiging voorkeursrecht;2024-02-23;Benthem Gratama advocaten, Melkveebedrijf BEM, College van Burgemeester en Wethouders Steenwijkerland, Provincie Overijssel;Ontwerp raadsvoorstel d.d. 9 januari 2024, Besluit van het College d.d. 9 januari 2024, Brief gemeente d.d. 17 januari 2024, Bezwaarschrift tegen besluit College d.d. 9 januari 2024;Ijsselham
Bijlage 5 Boom effect analyse Zuiderzeeweg.pdf;Boom effect analyse (BEA) Zuiderzeeweg;Rondweg Blokzijl / Behoud en kap van bomen;2025-06-06;BOR cluster groen, circulariteit en biodiversiteit, C. Teurlinckx, A. ten Veen;Inspectie tekening (Bijlage 1), Advies m.b.t. bomen en groensingel Zuiderzeeweg van 15 januari (Bijlage 2);Blokzijl
bijlage 5 nota van wijziging Stadsvisie Steenwijk versie 28-10-2025.pdf;Nota van wijzigingen Stadsvisie Steenwijk;Stadsvisie;2025-10-28;CBS, Planbureau voor de Leefomgeving, Woldberg, Havelterberg, Wieden, Weerribben, Johan van den Kornput, Prins Maurits, Johan van den Kornputkazerne, Johannes Postkazerne, A32, Zuidveen, Rivier de Aa;Stadsvisie, woningmarktonderzoek (2025);Dolderkanaal, Eeserwold, Giethoorn, Groot Verlaat, Oostermeenthe, Paddenpoel en Kornputkwartier, Steenwijkerdiep, Tuk, Woldmeenthe
Bijlage 5 Onderzoeksrapport 2018 .pdf;Onderzoek en Advies Toekomst Gemeentearchief Steenwijkerland;Toekomst Gemeentearchief;2018-02-27;Brigit Hoomans, Historisch Centrum Overijssel (HCO), Gemeente Meppel, Gemeente Westerveld, Gemeente Zwolle, Gemeente Deventer, Het Rijk;Begroting gemeentearchief 2017;
BIJLAGE 5 Stappenplan voor een openbare selectieprocedure.pdf;Stappenplan voor een openbare selectieprocedure;Openbare selectieprocedure onroerende zaken;;Gemeente, College, Civiele rechter;;
Bijlage 5 van de toelichting - watertoets.pdf;Uitgangspuntennotitie Watertoets Jan van Nassauweg 12 te Giethoorn;Watertoets / Bedrijfsontwikkeling;;Batenburg, Waterschap Drents Overijsselse Delta, Provincie Overijssel, Provincie Drenthe;Waterbeheerplan 2016-2021, Beleidsnotitie stedelijk waterbeheer Water Raakt! (2015), Keur, Nationaal Bestuursakkoord Water (NBW), Stowa rapport 2015-10, Waterwet;Giethoorn
Bijlage 5- Weergave van wat we al doen in Steenwijkerland rondom de prioriteiten.pdf;Weergave van wat we al doen in Steenwijkerland rondom de prioriteiten;Gezondheid en Preventie;;Samen voor Ryan, Stichting Suïcidepreventie, Sjors Sportief en Creatief, Max Vitaal, Sam&Overijssel, Volwassenenfonds, Sociaal Werk De Kop, Tactus verslavingszorg, Het Alternatief (HALT), NIX 18;;
Bijlage 5. AERIUS verschilberekening.pdf;AERIUS verschilberekening Hoeve Montigny Kanaaldijk 5;Stikstof;2022-03-28;De Omgevingsadviseurs, Hoeve Montigny, Kanaaldijk 5, Dwingelderveld;;Giethoorn
Bijlage 5. Verslag informatieavond.pdf;Verslag informatieavond woningbouw Scheerwolde;Woningbouw;2019-01-17;Wetland Wonen Groep, Plaatselijk Belang Scheerwolde, Plaatselijk Belang Blankenham, Wethouder Scheringa, De heer Vaartjes, De heer Wittingen, De heer Bron, De Brink;;Scheerwolde, Blankenham
Bijlage 6 - Aerius-berekening aanlegfase.pdf;AERIUS-berekening aanlegfase Oldemarktseweg 103;Stikstof;2022-11-10;M. ten Klooster, Oldemarktseweg 103, Natura 2000;;Steenwijkerwold en Witte paarden
Bijlage 6 - Masterplan museum Steenwijk  Steenwijkerland.pdf;Masterplan op weg naar een nieuw museum in Steenwijkerland;Cultuur en Musea;2021-09-01;Studio Louter, OPERA Amsterdam, Hienke Alberts (Kwartiermaker Museumproject), Museumwerkgroep, Stadsmuseum Steenwijk, Hildo Krop Museum, Historische Vereniging Steenwijk en omgeving, Kermis- en Circusmuseum, Bureau de Wierde, Stichting Weerribben-Wieden, Markt, Spijkervetstallen, Villa Rams Woerthe, Hildo Krop;Haalbaarheidsonderzoek Bureau de Wierde (januari 2020), Programma Duurzaam Beleefbaar Toerisme, Uitvoeringsprogramma Binnenstad Steenwijk, Uitvoeringsprogramma Stationsgebied Steenwijk;Steenwijk Centrum / Binnenstad
Bijlage 6 - Raadsvoorstel 2024-RAAD-00010.pdf;Voorkeursrecht mogelijke windmolenlocaties;Duurzaamheid;2024-03-26;Arnold Vedder, Ton van Amerongen, Johannes Terpstra, Leon Pulles, M. Scheringa, RES-regio West-Overijssel, Provincie Overijssel, De Lende, Ossenzijlerweg, Kadaster;Collegebesluit van 9 januari 2024 (voorkeursrechtbeschikking), Omgevingswet, Omgevingsbesluit;Oldemarkt
Bijlage 6 - reactie besturen RSJ en GGD op zienswijze raad Olst-Wijhe (1).pdf;Reactie besturen GGD en RSJ op zienswijze gemeenteraad Olst-Wijhe;Zienswijze GR;;GGD, RSJ, Gemeenteraad Olst-Wijhe, GR RSJ;Zienswijze gemeenteraad Olst-Wijhe, Begroting 2026 (GGD/RSJ);
Bijlage 6 - Uitgezoomde grondtekening.pdf;Uitgezoomde grondtekening mogelijke opstelling windturbines Oldemarkt e.o.;Windturbines;2023-12-14;S.G. Zwerver;;Oldemarkt, Ossenzijl
bijlage 6 251029 BVR Stadsvisie Steenwijk definitief lowres spreads.pdf;Stadsvisie Steenwijk: stad en landschap dichtbij;Stadsvisie;2025-10-29;BVR adviseurs, Goudappel, Steenwijkertoren, Villa Rams Woerthe, Koloniën van Weldadigheid, Johan van den Kornput, Prins Maurits, Johannes Postkazerne;Omgevingsvisie Steenwijkerland, Stadsvisie Vollenhove, Stadsvisie Blokzijl, Participatieverslag Stadsvisie Steenwijk;Steenwijk Centrum / Binnenstad, Oostermeenthe, Woldmeenthe, Tuk, Paddenpoel en Kornputkwartier, Groot Verlaat, Dolderkanaal, Eeserwold
Bijlage 6 Aanmeldnotitie m.e.r..pdf;Aanmeldnotitie vormvrije m.e.r.-beoordeling Steenwijk - Jan Steenstraat;Woningbouw;2021-10-10;Adviesbureau Haver Droeze, Anita van Bommel, SVP, Lycens, Jan Steenstraat, Admiraal de Ruyterstraat, Vondelstraat, Rembrandtstraat, Paul Krugerstraat, Verlaatseweg, Bilderdijkstraat, Gasthuislaan, OBS De Samensprong, Basisschool De Wegwijzer, Woonzorgcentrum Voetelinkhuis, Tuba Moskee, Vrije Zendingsgemeente, Kindcentrum Willem Alexander;Bestemmingsplan ‘Steenwijk – Jan Steenstraat’, Bureauonderzoek en inventariserend veldonderzoek (BO en IVO-O), Jan Steenstraat, Steenwijk, 27 augustus 2021 (Lycens), VNG-publicatie 'Bedrijven en milieuzonering' (editie 2009), Wet milieubeheer, Besluit m.e.r., Europese Richtlijn Milieueffectbeoordeling (85/337/EEG);Steenwijk West
BIJLAGE 6 benchmark theatersubsidie.pdf;Benchmark theatersubsidie;Theatersubsidie;;Ogterop Meppel, De Tamboer Hoogeveen, Posthuis Heerenveen, T Voorhuis Emmeloord, Stadsgehoorzaal Kampen, Meenthe Steenwijk, Voorveghter Hardenberg, Theater Analyse Systeem;;
Bijlage 6 bij de toelichting - Watertoets.pdf;Watertoets Herziening bestemmingsplan Bergstein;Woningbouw;2021-03-22;Ruben Beens (Witpaard BV), Waterschap Drents Overijsselse Delta, Bart Mossel (Gemeente Steenwijkerland);Waterbeheerplan 2016-2021, Water Raakt!, Keur, verbreed gemeentelijke rioleringsplan (vGRP);Tuk
Bijlage 6 Informatienota 2021.pdf;Beëindiging voorbereiding toetreding Historisch Centrum Overijssel;Gemeentearchief;2021-12-14;Historisch Centrum Overijssel (HCO), T. Jongman, Roel Lensen, Johannes Terpstra, Rijk;Raadsbesluit 19 juni 2018;
BIJLAGE 6 Stappenplan bij uitzondering op een openbare selectieprocedure.pdf;Stappenplan bij uitzondering op een openbare selectieprocedure;Grondbeleid;;College, Civiele rechter;Uitgiftebeleid, Nota Grondbeleid;
Bijlage 6 van de toelichting - beleidskader voor kleine windmolens in de gemeente Steenwijkerland.pdf;Beleidskader voor kleine windmolens;Windenergie;2022-01-25;BCS, LTO, Bosch & Van Rijn, Energiecoöperaties;Raadsbesluit 25-01-2022, Motie 26 mei 2020, Uitgangspuntennotitie Kleine Windmolens, Locatieonderzoek kleine windmolens (2013), Landschapsontwikkelingsplan (LOP);Dolderkanaal, Groot Verlaat, Eeserwold, Oldemarkt
Bijlage 6- Overzicht gerelateerd beleid en bestaande samenwerkingsverbanden.pdf;Overzicht gerelateerd beleid en bestaande samenwerkingsverbanden;Gezondheidsbeleid;;GGD (GGD IJsselland), Sociaal Werk De Kop, kinderopvang, onderwijs (scholen, ROC's, besturen basisscholen), huisartsenpraktijken (Dokter Drenthe), verloskundigen (Verloskundigen Tjongerschans), kraamzorg, sportaanbieders, zorginstellingen (Noorderboog, thuiszorg, specialist ouderengeneeskunde), fysiotherapeuten, cultuurorganisaties (Meenthe, Cultuurklik, historische verenigingen), Taalpunt, de bibliotheek (Bibliotheek Kop van Overijssel), Tactus, Halt, politie, Noord West Groep (NWG), RIBW, Vluchtelingenwerk, woningcorporaties, VNN, Fietsersbond, Stichting Regenboog Steenwijkerland, Isala POP-poli, Stichting Lezen en Schrijven, provincie Overijssel, Omgevingsdienst IJsselland, Gemeenten IJsselland, Gemeenten regio IJssel-Vecht, Zorgverzekeraar, POH-er Jeugd GGZ;Preventief jeugdbeleid, Onderwijsachterstandenbeleid, Sport- en beweegbeleid, Cultuurbeleid, Beleidsplan laaggeletterdheid overgangsjaar 2023, Preventie- en handhavingsplan 2023-2026, Integraal veiligheidsplan 2023-2026, Visie op participatie 2020-2023, Armoede- en minimabeleid, Woonagenda Steenwijkerland 2022-2026, Mobiliteitsvisie en Fietsplan, Omgevingsvisie, Inclusiebeleid (regenboogbeleid 2022-2025), Steenwijkerlands Sport & Beweegakkoord, Gezond en Actief Leven Akkoord (GALA), Integraal Zorgakkoord (IZA);
Bijlage 7 - Korte juridische toelichting.pdf;Korte uitwerking van het voorkeursrecht;Vestiging voorkeursrecht windenergieproject;;College van burgemeester en wethouders, Gemeenteraad, Rechtbank, Afdeling bestuursrechtspraak van de Raad van State, Voorzieningenrechter;Omgevingswet, Omgevingsplan, Omgevingsvisie, Ontwerpraadsvoorstel-besluit;
Bijlage 7 - Standaard waterparagraaf.pdf;Digitale Watertoets - Standaard waterparagraaf korte procedure;Watertoets;2022-08-04;Waterschap Drents Overijsselse Delta;Waterbeheerplan 2016-2021, Water Raakt!, De Keur, verbreed gemeentelijke rioleringsplan (vGRP);
bijlage 7 Achtergrondrapportage mobiliteit - Stadsvisie Steenwijk.pdf;Achtergrondrapport mobiliteit Stadsvisie Steenwijk;Mobiliteit;2025-10-21;Gemeente Steenwijkerland, Regio Zwolle;Stadsvisie Steenwijk, Eerder uitgevoerde mobiliteitsstudie;Steenwijk Centrum / Binnenstad
Bijlage 7 Advies HCO OR.pdf;Advies Ondernemingsraad inzake toetreding tot GR HCO;Toetreding GR HCO;2025-08-19;M. de Graaf (Algemeen directeur / gemeentesecretaris), Ondernemingsraad Steenwijkerland, Historisch Centrum Overijssel (HCO), CNV, FNV, Deventer, Kermis- en Circusmuseum, Nienke Dirksen-Swenne, Luuk Slager;Adviesaanvraag d.d. 8 juli 2025, Collegevoorstel toetreding GR HCO, Onderzoeksrapport, Functiebeschrijvingen, Arbeidsvoorwaardenvergelijking, Reacties van CNV en FNV, Rapport van de gemeentearchivaris, Overlegvergadering 17 juli 2025;
